 [INFO] 2019-08-15 20:07:21,222 [MainThread:27160] [django.utils.autoreload:576] [autoreload:run_with_reloader] - Watching for file changes with StatReloader
 [DEBUG] 2019-08-15 20:07:21,226 [MainThread:27160] [django.utils.autoreload:267] [autoreload:run] - Waiting for apps ready_event.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:278] [autoreload:run] - Apps ready_event triggered. Sending autoreload_started signal.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,301 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\bc_qa_bvt\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\users\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\project\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\module\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\captcha\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\apk\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\exta_apps\xadmin\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\crispy_forms\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\Program\Python36\lib\site-packages\corsheaders\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,302 [MainThread:27160] [django.utils.autoreload:226] [autoreload:watch_dir] - Watching dir D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\utils\locale with glob **/*.mo.
 [DEBUG] 2019-08-15 20:07:23,716 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1557894919.6413882
 [DEBUG] 2019-08-15 20:07:23,716 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1557894919.5576124
 [DEBUG] 2019-08-15 20:07:23,717 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\hashlib.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,717 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\signal.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,717 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\apk\urls.py first seen with mtime 1565870662.7379036
 [DEBUG] 2019-08-15 20:07:23,717 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1557894919.3631315
 [DEBUG] 2019-08-15 20:07:23,717 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\db\backends\mysql\client.py first seen with mtime 1557894919.3820806
